code_station,libelle_station,date_prelevement,code_parametre,libelle_parametre,resultat,symbole_unite,longitude,latitude
05165760,L'Aise à Issus,2021-02-24,1350,Phosphore total,0.073,mg/L,1.443832556,43.427030658
05155000,La Save à Grenade,2021-02-24,1301,Température de l'Eau,11.0,°C,1.275836646,43.783848791
05166000,Le Grand Hers à Calmont,2021-02-24,1350,Phosphore total,0.03,mg/L,1.632038784,43.286062063
05165000,La Lèze à Labarthe-sur-Lèze,2021-02-24,1302,Potentiel en Hydrogène (pH),7.6,unité pH,1.406575617,43.450964783
05158000,Le Girou à Cépet,2021-02-24,1302,Potentiel en Hydrogène (pH),8.3,unité pH,1.433921776,43.752663689
05156950,L'Hers mort au niveau de St-Sauveur,2021-02-24,1340,Nitrates,37.0,mg(NO3)/L,1.380556327,43.750443226
05164000,L'Ariège à Lacroix - Falgarde,2021-02-24,1301,Température de l'Eau,10.6,°C,1.406872377,43.499561998
05165850,L'Ariège à Clermont-le-Fort,2021-02-24,1350,Phosphore total,0.029,mg/L,1.420603568,43.460528595
05164000,L'Ariège à Lacroix - Falgarde,2021-02-24,1302,Potentiel en Hydrogène (pH),8.3,unité pH,1.406872377,43.499561998
05156950,L'Hers mort au niveau de St-Sauveur,2021-02-24,1303,Conductivité à 25°C,676.0,µS/cm,1.380556327,43.750443226
05165760,L'Aise à Issus,2021-02-24,1301,Température de l'Eau,11.6,°C,1.443832556,43.427030658
05156700,La Garonne à Ondes,2021-02-24,1303,Conductivité à 25°C,378.0,µS/cm,1.307128121,43.777678805
05165850,L'Ariège à Clermont-le-Fort,2021-02-24,1303,Conductivité à 25°C,233.0,µS/cm,1.420603568,43.460528595
05174000,La Garonne en amont de l'Ariège,2021-02-24,1350,Phosphore total,0.015,mg/L,1.387766337,43.512148118
05165850,L'Ariège à Clermont-le-Fort,2021-02-24,1302,Potentiel en Hydrogène (pH),8.4,unité pH,1.420603568,43.460528595
05155000,La Save à Grenade,2021-02-24,1340,Nitrates,28.1,mg(NO3)/L,1.275836646,43.783848791
05158000,Le Girou à Cépet,2021-02-24,1350,Phosphore total,0.07,mg(P)/L,1.433921776,43.752663689
05166000,Le Grand Hers à Calmont,2021-02-24,1302,Potentiel en Hydrogène (pH),8.3,unité pH,1.632038784,43.286062063
05175000,La Louge à St-Hilaire,2021-02-24,1350,Phosphore total,0.028,mg/L,1.283828555,43.41939468
05165760,L'Aise à Issus,2021-02-24,1303,Conductivité à 25°C,787.0,µS/cm,1.443832556,43.427030658
05155000,La Save à Grenade,2021-02-24,1350,Phosphore total,0.07,mg(P)/L,1.275836646,43.783848791
05165770,Le ruisseau de Tédèlou au niveau de Grepiac,2021-02-24,1301,Température de l'Eau,11.7,°C,1.477223385,43.414637812
05175000,La Louge à St-Hilaire,2021-02-24,1302,Potentiel en Hydrogène (pH),7.8,unité pH,1.283828555,43.41939468
05165000,La Lèze à Labarthe-sur-Lèze,2021-02-24,1303,Conductivité à 25°C,657.0,µS/cm,1.406575617,43.450964783
05165770,Le ruisseau de Tédèlou au niveau de Grepiac,2021-02-24,1303,Conductivité à 25°C,821.0,µS/cm,1.477223385,43.414637812
05164000,L'Ariège à Lacroix - Falgarde,2021-02-24,1340,Nitrates,7.6,mg/L,1.406872377,43.499561998
05165900,L'Ariège à Cintegabelle,2021-02-24,1350,Phosphore total,0.019,mg/L,1.532947423,43.310764293
05165770,Le ruisseau de Tédèlou au niveau de Grepiac,2021-02-24,1350,Phosphore total,0.041,mg/L,1.477223385,43.414637812
05158000,Le Girou à Cépet,2021-02-24,1340,Nitrates,40.8,mg(NO3)/L,1.433921776,43.752663689
05165770,Le ruisseau de Tédèlou au niveau de Grepiac,2021-02-24,1302,Potentiel en Hydrogène (pH),7.8,unité pH,1.477223385,43.414637812
05156950,L'Hers mort au niveau de St-Sauveur,2021-02-24,1301,Température de l'Eau,13.0,°C,1.380556327,43.750443226
05174000,La Garonne en amont de l'Ariège,2021-02-24,1340,Nitrates,4.59,mg/L,1.387766337,43.512148118
05164000,L'Ariège à Lacroix - Falgarde,2021-02-24,1303,Conductivité à 25°C,244.0,µS/cm,1.406872377,43.499561998
05175400,La Garonne au Pont vieux de Muret,2021-02-24,1303,Conductivité à 25°C,258.0,µS/cm,1.327566713,43.45805307
05175000,La Louge à St-Hilaire,2021-02-24,1303,Conductivité à 25°C,452.0,µS/cm,1.283828555,43.41939468
05175400,La Garonne au Pont vieux de Muret,2021-02-24,1340,Nitrates,3.59,mg/L,1.327566713,43.45805307
05155000,La Save à Grenade,2021-02-24,1303,Conductivité à 25°C,624.0,µS/cm,1.275836646,43.783848791
05165850,L'Ariège à Clermont-le-Fort,2021-02-24,1340,Nitrates,7.16,mg/L,1.420603568,43.460528595
05156700,La Garonne à Ondes,2021-02-24,1302,Potentiel en Hydrogène (pH),8.3,unité pH,1.307128121,43.777678805
05175000,La Louge à St-Hilaire,2021-02-24,1340,Nitrates,19.8,mg/L,1.283828555,43.41939468
05165900,L'Ariège à Cintegabelle,2021-02-24,1303,Conductivité à 25°C,183.0,µS/cm,1.532947423,43.310764293
05175000,La Louge à St-Hilaire,2021-02-24,1301,Température de l'Eau,12.2,°C,1.283828555,43.41939468
05156700,La Garonne à Ondes,2021-02-24,1340,Nitrates,14.2,mg(NO3)/L,1.307128121,43.777678805
05165760,L'Aise à Issus,2021-02-24,1302,Potentiel en Hydrogène (pH),7.9,unité pH,1.443832556,43.427030658
05165760,L'Aise à Issus,2021-02-24,1340,Nitrates,29.8,mg/L,1.443832556,43.427030658
05166000,Le Grand Hers à Calmont,2021-02-24,1340,Nitrates,14.9,mg/L,1.632038784,43.286062063
05156950,L'Hers mort au niveau de St-Sauveur,2021-02-24,1302,Potentiel en Hydrogène (pH),8.3,unité pH,1.380556327,43.750443226
05174000,La Garonne en amont de l'Ariège,2021-02-24,1303,Conductivité à 25°C,261.0,µS/cm,1.387766337,43.512148118
05166000,Le Grand Hers à Calmont,2021-02-24,1303,Conductivité à 25°C,451.0,µS/cm,1.632038784,43.286062063
