eventDate,scientificName,family,order,decimalLatitude,decimalLongitude,waterBody
2023-03-21,Psychomyiidae,Psychomyiidae,Trichoptera,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,Chironomidae,Chironomidae,Diptera,51.19552,4.76791,Scheldt river basin;BEVL_L217_4721
2023-03-20,Asellidae,Asellidae,Isopoda,51.26784,5.42832,Meuse river basin;DOMMEL;BEVL05_136
2023-03-20,Ceratopogonidae,Ceratopogonidae,Diptera,51.23454,5.41966,Meuse river basin;EINDERGATLOOP;BEVL_L107_857
2023-03-20,Simuliidae,Simuliidae,Diptera,51.23454,5.41966,Meuse river basin;EINDERGATLOOP;BEVL_L107_857
2023-03-21,Asellidae,Asellidae,Isopoda,51.23196,4.87464,Scheldt river basin;GROTE CALIE;BEVL_L107_638
2023-03-20,Chironomidae,Chironomidae,Diptera,51.20409,5.18201,Scheldt river basin;SCHEPPELIJKE NETE;BEVL_L107_705
2023-03-20,Animalia,,,51.20409,5.18201,Scheldt river basin;SCHEPPELIJKE NETE;BEVL_L107_705
2023-03-20,Hydropsychidae,Hydropsychidae,Trichoptera,51.20409,5.18201,Scheldt river basin;SCHEPPELIJKE NETE;BEVL_L107_705
2023-03-29,Gammaridae,Gammaridae,Amphipoda,51.14311,4.33057,Scheldt river basin;ZEESCHELDE III + RUPEL;BEVL17_42
2023-03-20,Oligochaeta,,,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,"Acroloxus H.Beck, 1838",Acroloxidae,,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,"Bithynia Leach, 1818",Bithyniidae,Littorinimorpha,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,"Nemoura Latreille, 1796",Nemouridae,Plecoptera,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-21,Oligochaeta,,,51.29088,4.91094,Scheldt river basin;AA I;BEVL11_120
2023-03-21,Simuliidae,Simuliidae,Diptera,51.29088,4.91094,Scheldt river basin;AA I;BEVL11_120
2023-03-21,"Acroloxus H.Beck, 1838",Acroloxidae,,51.29088,4.91094,Scheldt river basin;AA I;BEVL11_120
2023-03-21,Hydropsychidae,Hydropsychidae,Trichoptera,51.29088,4.91094,Scheldt river basin;AA I;BEVL11_120
2023-03-21,Ephydridae,Ephydridae,Diptera,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,"Glossiphonia Johnson, 1816",Glossiphoniidae,Rhynchobdellida,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,"Acroloxus H.Beck, 1838",Acroloxidae,,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,"Ischnura Charpentier, 1840",Coenagrionidae,Odonata,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-20,Gammaridae,Gammaridae,Amphipoda,51.26784,5.42832,Meuse river basin;DOMMEL;BEVL05_136
2023-03-20,Stratiomyidae,Stratiomyidae,Diptera,51.23454,5.41966,Meuse river basin;EINDERGATLOOP;BEVL_L107_857
2023-03-21,"Acroloxus H.Beck, 1838",Acroloxidae,,51.23196,4.87464,Scheldt river basin;GROTE CALIE;BEVL_L107_638
2023-03-20,Limoniidae,Limoniidae,Diptera,51.20409,5.18201,Scheldt river basin;SCHEPPELIJKE NETE;BEVL_L107_705
2023-03-20,Sericostomatidae,Sericostomatidae,Trichoptera,51.20409,5.18201,Scheldt river basin;SCHEPPELIJKE NETE;BEVL_L107_705
2023-03-20,Chironomidae,Chironomidae,Diptera,51.23645,5.38156,Meuse river basin;EINDERGATLOOP;BEVL_L107_857
2023-03-20,Athericidae,Athericidae,Diptera,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,"Corbicula Megerle von Mühlfeld, 1811",Cyrenidae,Venerida,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,"Ferrissia B.Walker, 1903",Planorbidae,,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-21,Chironomidae,Chironomidae,Diptera,51.29088,4.91094,Scheldt river basin;AA I;BEVL11_120
2023-03-21,"Erpobdella Lamarck, 1818",Erpobdellidae,Arhynchobdellida,51.29088,4.91094,Scheldt river basin;AA I;BEVL11_120
2023-03-21,"Pisidium C.Pfeiffer, 1821",Sphaeriidae,Sphaeriida,51.29088,4.91094,Scheldt river basin;AA I;BEVL11_120
2023-03-21,Nematoda,,,51.29088,4.91094,Scheldt river basin;AA I;BEVL11_120
